Name,Handle,Followers,Engagement Rate,Recent Collabs
"@awomanofnature","@awomanofnature","","",""
"@tammy_dewolfe_realtor","@tammy_dewolfe_realtor","","",""
"Lauren / Denver Bucket List 📋","@denverbucketlist_","11k","4%","Monarch Casino Resort Spa, Great Divide RiNo, Moodswing, The Porch Collective"
"Laura Slater","@laura.slater_","36k","2.54%","Sandals Resorts, Earthborn Holistic Pet Food, Thensome, Nashville Plastic Surgery Institute"
"Shaneice BSN, RN","@reese.shaneice","20.1k","2.09%","iinfluential, Prophytes Be Like, Coach, MCM"
"Bethany (Webb) Adair","@mygurucancer","24.9k","3.16%","HerScan, AstraZeneca US, AstraZeneca, LuxCare Clothing"
"Tricie Boo 💋","@iamkentrice","10.8k","2.22%","Sin Fitness, Legion, IT Cosmetics, Casamigos"
"Catherine Martinez","@catherinejm","20.6k","2.82%","UCULT, Mula Films, Skincare Social Club, CM2 Entertainment"
"Hannah Louise Poston","@hannahlouiseposton","31.3k","3.55%","Cured Nutrition, Salt New York, CUUP, Garbo&Friends"
"Alia Brown","@aliabrowndermmd","12k","2.22%","EltaMD Skin Care, La Roche-Posay USA, CeraVe, L'Oréal Paris"
"Robin Christina","@robinssweetconfessions","10.5k","4.23%","Fifth & Cor, Oui Please, Pineapple Yoga Studio, Tara Jane Design"
"Michie Peachie","@ohmymichie","30.5k","3.82%","Tarte Cosmetics, Shein, SHEIN, Ivory Ella"
"Sharon Maxwell","@heysharonmaxwell","12.3k","5.5%","International Podcast Day, AQ Kids, Henna + Heels, Nuance Salma Hayek at CVS"
"Solonje Burnett","@solonjeburnett","16.9k","10.53%","Hims & Hers, Oura Ring, Mielle Organics, Pattern Beauty"
"Higa Fit","@higafit","47.1k","4.78%","Bloom Nutrition, CELSIUS, Bowmar Nutrition, Momentous"
"Jess 🌊✨🕊","@say_yesstojess","17.3k","2.78%","Noni by NewAge, Stash Tea Company, Life Equals, Pacifica Beauty"
"Becky Samples","@becksamples101","12.6k","5.38%","Curél Skincare, Revlon, Prada Beauty, Revlon Professional"
"Emily Miller","@_emiller","14.2k","4.44%","Savvy Minerals by Young Living, Young Living Essential Oils, Young Living, Teami Blends"
"Kilas","@kilassmith","43.1k","2.65%","BetterHelp, Beauty Bakerie, SheaMoisture, Lulus"
"opal rose","@opalrose.wav","10.3k","9.14%","Parachute Home, Thuma, Billie, Ritual"
"Mexi Mama","@meximamma72","22.1k","3.48%","Carnival Cruise Line, Marriott Bonvoy, Cricut, CELSIUS"
"J Mau Mau 🌸","@jmaumau","33.4k","3.05%","Target, Ulta Beauty, Fenty Beauty, Sephora"
"Kristin Weitzel","@kristinweitzelofficial","17.7k","8.96%","BiOptimizers, Ancient Nutrition, Organifi, Luminara"
"Tina Macuha","@tinamacuha","22.9k","3.19%","Saalt, Puracy, Just Ingredients, Branch Basics"
"Divinely Distinct","@divinelydistinct","11.7k","9.69%","The Honey Pot Company, Ulta Beauty, Vaseline, Dove"
"CelineThickFit","@thickfit_celine","25.7k","3.22%","Fashion Nova, Cotton: Fabric of Our Lives, Calvin Klein, Diff Eyewear"
"Amber Love","@amber__love","26.3k","2.78%","SheaMoisture, Ulta Beauty, Fenty Beauty, Black Girl Sunscreen"
"Ebony Bezzie","@ebezzie","40.4k","3.89%","Fashion Nova, SHEIN, Haus Labs by Lady Gaga, ColourPop Cosmetics"
"The Brown Diary","@thebrown_diary","38k","3.95%","Rare Beauty, Sephora, Hims & Hers, Cantu Beauty"
"Syleste Fox","@sylestefox10","16.3k","2.52%","KiwiCo, Amazon, SHEIN, Ulta Beauty"
"Clara's Kingdom","@claras_kingdom","28.2k","3.46%","Walmart, Crayola, LEGO, Disney"
"Lari Freitas","@larifreitasss","28k","2.59%","Fashion Nova, Shein, SHEIN, Savage X Fenty"
"Mayholic Design","@mayholicdesign","14.7k","3.26%","Spoonflower, Creativebug, Cricut, Michaels"
"Madelyn Birchall","@madelynbirchall","12.6k","4.43%","Needed, Needed., HUM Nutrition, Ritual"
"Sara Ruffin Costello","@sararuffincostello","35.6k","2.49%","Pottery Barn, Williams Sonoma, Anthropologie, One Kings Lane"
"Micole Austin","@micole.austin","15.3k","4.49%","Tarte Cosmetics, Fenty Beauty, Ulta Beauty, L'Oréal Paris"
"Kay ✨","@oh_kayyyyyyyyyy","33.5k","3.82%","Fashion Nova, SHEIN, PrettyLittleThing, Rebdolls"
"Tallia Del Jou","@talliadeljou","17.3k","6.54%","Ritual, LMNT, AG1, Beam"
"Sarah Staples","@sarahstaplesfit","16k","4.26%","NOBULL, Vuori, Alo Yoga, Lululemon"
"Jenna Leigh MD","@jennaleigh_md","21.6k","3.15%","Seed Health, Thorne, Momentous, Athletic Greens"
"Rita Gigante","@ritagigantepsychic","11.1k","3.31%","Keen, Kasamba, California Psychics, Psychic Source"
"Boston Country Mom","@bostoncountrymom","15.1k","2.25%","Keurig, Dunkin', Hannaford, Stop & Shop"
"Maggie Mae","@vsg.maggiemae","44.9k","2.82%","Bariatric Fusion, Unjury Protein, Bariatric Eating, Premier Protein"
"Kaci J Beauty","@kacjbeauty","19.7k","5.24%","Tarte Cosmetics, e.l.f. Cosmetics, NYX Professional Makeup, ColourPop Cosmetics"
"Surviving on Snacks","@surviving_on_snacks","16.6k","4.11%","Thrive Market, Sunbasket, Green Chef, HelloFresh"
"AJ Everyday","@ajeveryday","34.7k","2.28%","Amazon, Target, Walmart, Old Navy"
"Dulci G","@dulci_g","24.5k","3.94%","SKIMS, Fenty Beauty, Ulta Beauty, Nordstrom"
"Kylie Ohlmiller","@kylieohlmiller17","18.4k","5.72%","Hyperice, Therabody, Vuori, Lululemon"
"Peggy Shoo","@peggy_shoo","22.7k","2.96%","Amazon, Target, SHEIN, Fashion Nova"
"The Real No Bad Books","@therearenobadbooks","11.5k","3.91%","Bookshop.org, Barnes & Noble, Libro.fm, Audible"
"House on Oak Hill","@houseonoakhill","36.2k","2.38%","Wayfair, HomeGoods, At Home, IKEA"
"Jent Dream World","@jentdreamworld","17.1k","4.22%","Amazon, Walmart, Target, Michaels"
"Stacy Delin MD","@stacydelin_md","13.6k","5.11%","Hims & Hers, Ro, Noom, WeightWatchers"
"Pirie Jones Grossman","@piriejonesgrossman","18.9k","3.67%","Amazon, Target, Walmart, Costco"
"Krista Llamas","@krista_llamas","27.4k","2.56%","Amazon, Target, Walmart, Old Navy"
"Pura Zabrosura","@purazabrosura","14.2k","4.78%","Sephora, Ulta Beauty, Fenty Beauty, Charlotte Tilbury"
"Aviv Melmed Bruno","@aviv_melmedbruno","11.8k","3.45%","Bumble and bumble, Olaplex, Living Proof, Moroccanoil"
"Ella McCaffray","@ellamccaffray","22.3k","2.89%","Amazon, Target, Walmart, H&M"
"Ceylone Boothe Grooms","@ceyloneboothegrooms","15.7k","4.56%","Walmart, Target, Amazon, Old Navy"
"One Brittany Branay","@onebrittanybranay","19.4k","3.21%","Amazon, Walmart, Target, Fashion Nova"
